fir_number,crime_type,incident_date,incident_time,district,police_station,severity,status,latitude,longitude,description,modus_operandi
FIR000016,Vehicle Theft,2025-01-16,13:45,Mandya,Nagamangala,LOW,CLOSED,12.5228,76.9423,Vehicle Theft reported at Subramanyapura. Towing.,Towing
FIR000017,Arson,2025-01-17,23:08,Haveri,Hangal,MEDIUM,CLOSED,14.7459,75.357,"Arson reported at 12th Main, Indiranagar. Forest fire.",Forest fire
FIR000018,Fraud,2025-01-18,00:41,Tumakuru,Madhugiri,HIGH,UNDER_INVESTIGATION,13.3044,77.1323,Fraud reported at RT Nagar. Credit card fraud.,Credit card fraud
FIR000019,Robbery,2025-01-19,21:10,Kodagu,Virajpet,CRITICAL,CLOSED,12.4262,75.7514,Robbery reported at Vijayanagar 2nd Stage. Highway robbery.,Highway robbery
FIR000020,Pickpocketing,2025-01-20,09:11,Vijayanagara,Kampli,LOW,COLD,15.315,76.5703,Pickpocketing reported at Rajajinagar. Distraction theft.,Distraction theft
FIR000021,Domestic Violence,2025-01-21,11:50,Mysuru,Kuvempunagar,MEDIUM,PENDING,12.3173,76.6442,Domestic Violence reported at Subramanyapura. Dowry harassment.,Dowry harassment
FIR000022,Drug Offence,2025-01-22,20:38,Mysuru,Vijayanagar,MEDIUM,PENDING,12.265,76.6873,Drug Offence reported at MG Road. Manufacturing.,Manufacturing
FIR000023,Pickpocketing,2025-01-23,14:09,Bengaluru Rural,Doddaballapura,MEDIUM,UNDER_INVESTIGATION,13.0606,77.6132,Pickpocketing reported at Jayanagar 4th Block. Crowd pick.,Crowd pick
FIR000024,Kidnapping,2025-01-24,10:28,Bengaluru Urban,Yeshwanthpur,CRITICAL,PENDING,13.0106,77.5676,Kidnapping reported at MG Road. Political.,Political
FIR000025,Sexual Offence,2025-01-25,00:48,Bengaluru Rural,Hoskote,HIGH,COLD,13.1443,77.6061,Sexual Offence reported at Whitefield Main Road. Eve teasing.,Eve teasing
FIR000026,Robbery,2025-01-26,03:28,Chikkaballapur,Main Police Station,MEDIUM,COLD,13.4582,77.761,Robbery reported at Nagarbhavi. Bank robbery.,Bank robbery
FIR000027,Criminal Trespass,2025-01-27,00:32,Yadgiri,Yadgiri Town,CRITICAL,COLD,16.7985,77.1278,Criminal Trespass reported at Yelahanka New Town. Encroachment.,Encroachment
FIR000028,Chain Snatching,2025-01-28,06:51,Tumakuru,Kunigal,CRITICAL,UNDER_INVESTIGATION,13.3274,77.1221,Chain Snatching reported at Kumaraswamy Layout. Pedestrian snatch.,Pedestrian snatch
FIR000029,Murder,2025-01-29,16:06,Mandya,Nagamangala,CRITICAL,PENDING,12.5734,76.8773,Murder reported at Jayanagar 4th Block. Firearm.,Firearm
FIR000030,Sexual Offence,2025-01-30,16:22,Yadgiri,Shahapur,LOW,CLOSED,16.7581,77.0941,Sexual Offence reported at Kengeri Satellite Town. Workplace harassment.,Workplace harassment
FIR000031,Pickpocketing,2025-01-01,17:50,Bengaluru Urban,Mysore Road,HIGH,CLOSED,12.9469,77.5773,Pickpocketing reported at Whitefield Main Road. Distraction theft.,Distraction theft
FIR000032,Cybercrime,2025-01-02,10:01,Bidar,Bhalki,CRITICAL,PENDING,17.9522,77.5371,Cybercrime reported at Brigade Road. Malware attack.,Malware attack
FIR000033,Robbery,2025-01-03,23:36,Mysuru,Udayagiri,HIGH,COLD,12.3454,76.5987,"Robbery reported at 12th Main, Indiranagar. Highway robbery.",Highway robbery
FIR000034,Fraud,2025-01-04,22:40,Udupi,Udupi Town,LOW,UNDER_INVESTIGATION,13.3703,74.7425,Fraud reported at Vijayanagar Town. Credit card fraud.,Credit card fraud
FIR000035,Fraud,2025-01-05,01:32,Chamarajanagar,Main Police Station,CRITICAL,CLOSED,11.9018,76.8985,Fraud reported at Dasarahalli. Property fraud.,Property fraud
FIR000036,Burglary,2025-01-06,12:45,Kolar,Kolar Town,LOW,PENDING,13.1166,78.0975,Burglary reported at HSR Layout Sector 3. Lock picking.,Lock picking
FIR000037,Kidnapping,2025-01-07,10:42,Chitradurga,Hiriyur,CRITICAL,CLOSED,14.1716,76.3835,Kidnapping reported at Kengeri Satellite Town. Political.,Political
FIR000038,Cybercrime,2025-01-08,07:27,Kalaburagi,Sedam,CRITICAL,PENDING,17.3397,76.8796,Cybercrime reported at HSR Layout Sector 3. Social engineering. [DELAYED INVESTIGATION],Social engineering
FIR000039,Domestic Violence,2025-01-09,03:28,Yadgiri,Yadgiri Town,LOW,COLD,16.7881,77.0945,Domestic Violence reported at HSR Layout Sector 3. Verbal abuse.,Verbal abuse
FIR000040,Fraud,2025-01-10,05:48,Belagavi,Maruti,CRITICAL,CLOSED,15.8764,74.4865,Fraud reported at Electronic City Phase 1. Online scam.,Online scam
FIR000041,Assault,2025-01-11,07:10,Ballari,Sandur,LOW,CLOSED,15.1598,76.9163,Assault reported at RT Nagar. Road rage.,Road rage
FIR000042,Vehicle Theft,2025-01-12,10:09,Chamarajanagar,Main Police Station,CRITICAL,CLOSED,11.8863,76.9813,Vehicle Theft reported at Peenya Industrial Area. Valet theft.,Valet theft
FIR000043,Sexual Offence,2025-01-13,07:04,Mysuru,Kuvempunagar,MEDIUM,CLOSED,12.3368,76.6171,Sexual Offence reported at HSR Layout Sector 3. Harassment.,Harassment
FIR000044,Sexual Offence,2025-01-14,21:03,Kolar,Malur,CRITICAL,PENDING,13.1736,78.1145,Sexual Offence reported at BTM Layout Stage 2. Assault.,Assault
FIR000045,Domestic Violence,2025-01-15,20:49,Mandya,Srirangapatna,HIGH,COLD,12.5573,76.8971,Domestic Violence reported at Sadashivanagar. Physical abuse.,Physical abuse
FIR000046,Sexual Offence,2025-01-16,09:31,Haveri,Hangal,MEDIUM,CLOSED,14.8265,75.3557,Sexual Offence reported at Brigade Road. Assault.,Assault
FIR000047,Burglary,2025-01-17,05:06,Chitradurga,Hosadurga,HIGH,COLD,14.2188,76.4367,Burglary reported at MG Road. Disguised entry.,Disguised entry
FIR000048,Burglary,2025-01-18,18:09,Chamarajanagar,Main Police Station,MEDIUM,UNDER_INVESTIGATION,11.8774,76.9172,Burglary reported at Padmanabhanagar. Disguised entry.,Disguised entry
FIR000049,Robbery,2025-01-19,18:10,Ballari,Sandur,LOW,UNDER_INVESTIGATION,15.1378,76.8941,Robbery reported at JP Nagar 6th Phase. Armed robbery.,Armed robbery
FIR000050,Burglary,2025-01-20,15:12,Bidar,Humnabad,MEDIUM,COLD,17.8874,77.513,Burglary reported at Nagarbhavi. Disguised entry.,Disguised entry
FIR000051,Vehicle Theft,2025-01-21,23:06,Bengaluru Rural,Nelamangala,LOW,UNDER_INVESTIGATION,13.1282,77.6422,Vehicle Theft reported at RT Nagar. Valet theft.,Valet theft
FIR000052,Criminal Trespass,2025-01-22,09:05,Dakshina Kannada,Mangaluru North,LOW,COLD,12.9166,74.8046,Criminal Trespass reported at Vijayanagar 2nd Stage. Illegal occupation.,Illegal occupation
FIR000053,Burglary,2025-01-23,01:12,Shivamogga,Sagara,LOW,CLOSED,13.9745,75.6153,Burglary reported at BTM Layout Stage 2. Disguised entry.,Disguised entry
FIR000054,Murder,2025-01-24,02:12,Yadgiri,Yadgiri Town,CRITICAL,PENDING,16.7375,77.0902,Murder reported at Padmanabhanagar. Sharp weapon.,Sharp weapon
FIR000055,Kidnapping,2025-01-25,08:55,Ramanagara,Channapatna,HIGH,CLOSED,12.7543,77.2631,Kidnapping reported at Banashankari 2nd Stage. For ransom.,For ransom
FIR000056,Criminal Trespass,2025-01-26,07:22,Udupi,Kundapur,CRITICAL,CLOSED,13.3512,74.7468,"Criminal Trespass reported at 12th Main, Indiranagar. Encroachment.",Encroachment
FIR000057,Assault,2025-01-27,05:26,Uttara Kannada,Main Police Station,CRITICAL,UNDER_INVESTIGATION,14.7877,74.1773,Assault reported at Subramanyapura. Weapon attack.,Weapon attack
FIR000058,Domestic Violence,2025-01-28,07:52,Gadag,Gadag Town,MEDIUM,COLD,15.3867,75.6011,Domestic Violence reported at Hebbal Ring Road. Physical abuse.,Physical abuse
FIR000059,Robbery,2025-01-29,01:53,Uttara Kannada,Main Police Station,MEDIUM,COLD,14.8454,74.1033,Robbery reported at Marathahalli Bridge. Chain snatching.,Chain snatching
FIR000060,Chain Snatching,2025-01-30,08:22,Kalaburagi,Afzalpur,CRITICAL,PENDING,17.3405,76.7928,Chain Snatching reported at Rajajinagar. Roadside snatch. [DELAYED INVESTIGATION],Roadside snatch
FIR000061,Chain Snatching,2025-01-01,17:45,Shivamogga,Tirthahalli,HIGH,CLOSED,13.9599,75.5922,Chain Snatching reported at Hebbal Ring Road. Pillion snatch.,Pillion snatch
FIR000062,Drug Offence,2025-01-02,17:06,Koppal,Koppal Town,MEDIUM,UNDER_INVESTIGATION,15.3146,76.1467,Drug Offence reported at Marathahalli Bridge. Smuggling.,Smuggling
FIR000063,Domestic Violence,2025-01-03,20:29,Vijayapura,Muddebihal,HIGH,UNDER_INVESTIGATION,16.812,75.6891,Domestic Violence reported at Electronic City Phase 1. Dowry harassment.,Dowry harassment
FIR000064,Drug Offence,2025-01-04,21:25,Mysuru,Kuvempunagar,MEDIUM,COLD,12.3118,76.6359,Drug Offence reported at Hebbal Ring Road. Street peddling.,Street peddling
FIR000065,Drug Offence,2025-01-05,09:08,Chamarajanagar,Main Police Station,LOW,PENDING,11.9472,76.9764,Drug Offence reported at Subramanyapura. Street peddling.,Street peddling
FIR000066,Arson,2025-01-06,08:51,Kolar,Kolar Town,CRITICAL,CLOSED,13.1157,78.1414,Arson reported at Kumaraswamy Layout. Property arson.,Property arson
FIR000067,Criminal Trespass,2025-01-07,23:35,Chitradurga,Hiriyur,HIGH,UNDER_INVESTIGATION,14.2027,76.3703,Criminal Trespass reported at Vijayanagar 2nd Stage. Boundary violation.,Boundary violation
FIR000068,Burglary,2025-01-08,05:21,Vijayanagara,Hospet,MEDIUM,COLD,15.2711,76.598,Burglary reported at Marathahalli Bridge. Window break.,Window break
FIR000069,Robbery,2025-01-09,19:59,Bidar,Basavakalyan,HIGH,COLD,17.9056,77.5254,Robbery reported at Vijayanagar Town. Home invasion.,Home invasion
FIR000070,Chain Snatching,2025-01-10,02:57,Chitradurga,Molakalmuru,MEDIUM,PENDING,14.1712,76.4497,Chain Snatching reported at Sadashivanagar. Roadside snatch.,Roadside snatch
FIR000071,Cybercrime,2025-01-11,03:37,Tumakuru,Tiptur,MEDIUM,UNDER_INVESTIGATION,13.3842,77.1153,Cybercrime reported at Hebbal Ring Road. Fake call centre.,Fake call centre
FIR000072,Arson,2025-01-12,05:39,Hassan,Sakleshpur,CRITICAL,COLD,13.0187,76.1519,Arson reported at Brigade Road. Property arson.,Property arson
FIR000073,Sexual Offence,2025-01-13,08:25,Bengaluru Urban,Whitefield,MEDIUM,UNDER_INVESTIGATION,12.9516,77.6216,Sexual Offence reported at Sadashivanagar. Eve teasing.,Eve teasing
FIR000074,Criminal Trespass,2025-01-14,19:15,Ballari,Ballari Town,HIGH,UNDER_INVESTIGATION,15.1645,76.8884,Criminal Trespass reported at Yelahanka New Town. Temple trespass.,Temple trespass
FIR000075,Pickpocketing,2025-01-15,05:40,Vijayanagara,Kampli,CRITICAL,UNDER_INVESTIGATION,15.3054,76.5897,Pickpocketing reported at Marathahalli Bridge. Crowd pick.,Crowd pick
FIR000076,Domestic Violence,2025-01-16,14:04,Dharwad,Dharwad Town,MEDIUM,UNDER_INVESTIGATION,15.5038,75.0092,Domestic Violence reported at Hebbal Ring Road. Dowry harassment.,Dowry harassment
FIR000077,Sexual Offence,2025-01-17,22:23,Belagavi,Shahapur,MEDIUM,COLD,15.8085,74.4722,Sexual Offence reported at Whitefield Main Road. Assault.,Assault
FIR000078,Cybercrime,2025-01-18,16:23,Chitradurga,Chitradurga Town,CRITICAL,CLOSED,14.2481,76.4234,Cybercrime reported at Vijayanagar 2nd Stage. Malware attack.,Malware attack
FIR000079,Assault,2025-01-19,12:39,Kolar,Bangarpet,CRITICAL,UNDER_INVESTIGATION,13.1861,78.1529,Assault reported at Vijayanagar Town. Confrontation.,Confrontation
FIR000080,Criminal Trespass,2025-01-20,22:10,Udupi,Karkala,CRITICAL,PENDING,13.3329,74.7141,Criminal Trespass reported at Subramanyapura. Boundary violation.,Boundary violation
FIR000081,Vehicle Theft,2025-01-21,11:16,Haveri,Ranebennur,MEDIUM,PENDING,14.7986,75.4122,Vehicle Theft reported at Padmanabhanagar. Carjacking.,Carjacking
FIR000082,Kidnapping,2025-01-22,13:20,Mandya,Srirangapatna,HIGH,CLOSED,12.5708,76.8652,Kidnapping reported at Whitefield Main Road. For ransom.,For ransom
FIR000083,Assault,2025-01-23,04:01,Davanagere,Jagalur,HIGH,CLOSED,14.4589,75.9138,Assault reported at RT Nagar. Group assault.,Group assault
FIR000084,Criminal Trespass,2025-01-24,01:22,Kalaburagi,Gulbarga North,MEDIUM,PENDING,17.3284,76.879,Criminal Trespass reported at Uttarahalli. Temple trespass. [DELAYED INVESTIGATION],Temple trespass
FIR000085,Cybercrime,2025-01-25,08:27,Raichur,Raichur Town,HIGH,PENDING,16.186,77.3767,Cybercrime reported at Whitefield Main Road. Credential theft.,Credential theft
FIR000086,Robbery,2025-01-26,13:57,Chitradurga,Hosadurga,MEDIUM,PENDING,14.1981,76.4117,Robbery reported at Kengeri Satellite Town. Highway robbery.,Highway robbery
FIR000087,Domestic Violence,2025-01-27,02:09,Vijayanagara,Kampli,HIGH,COLD,15.3117,76.6149,Domestic Violence reported at Sadashivanagar. Verbal abuse.,Verbal abuse
FIR000088,Murder,2025-01-28,04:49,Dakshina Kannada,Mangaluru South,MEDIUM,CLOSED,12.8439,74.8504,Murder reported at Nagarbhavi. Firearm.,Firearm
FIR000089,Domestic Violence,2025-01-29,13:10,Tumakuru,Kunigal,CRITICAL,PENDING,13.3788,77.0751,Domestic Violence reported at Hebbal Ring Road. Dowry harassment.,Dowry harassment
FIR000090,Chain Snatching,2025-01-30,17:40,Davanagere,Jagalur,HIGH,COLD,14.4651,75.8887,Chain Snatching reported at BTM Layout Stage 2. Market snatch.,Market snatch
FIR000091,Sexual Offence,2025-01-01,23:55,Chikkaballapur,Main Police Station,HIGH,COLD,13.3974,77.6875,Sexual Offence reported at Padmanabhanagar. Assault.,Assault
FIR000092,Drug Offence,2025-01-02,22:05,Dharwad,Dharwad Town,MEDIUM,COLD,15.4422,74.9867,Drug Offence reported at MG Road. Street peddling.,Street peddling
FIR000093,Arson,2025-01-31,14:33,Dakshina Kannada,Puttur,HIGH,UNDER_INVESTIGATION,12.9081,74.8249,Arson reported at Nagarbhavi. Forest fire.,Forest fire
FIR000094,Burglary,2025-02-01,15:40,Bengaluru Urban,Yeshwanthpur,HIGH,UNDER_INVESTIGATION,12.9457,77.5783,Burglary reported at JP Nagar 6th Phase. Lock picking.,Lock picking
FIR000095,Assault,2025-02-02,06:28,Ballari,Kampli,HIGH,UNDER_INVESTIGATION,15.1569,76.9607,Assault reported at JP Nagar 6th Phase. Strangulation.,Strangulation
FIR000096,Chain Snatching,2025-02-03,09:38,Bidar,Bhalki,LOW,PENDING,17.9553,77.4891,Chain Snatching reported at Electronic City Phase 1. Pillion snatch.,Pillion snatch
FIR000097,Robbery,2025-02-04,04:56,Ballari,Hospet,HIGH,UNDER_INVESTIGATION,15.123,76.896,Robbery reported at Rajajinagar. Home invasion.,Home invasion
FIR000098,Assault,2025-02-05,16:16,Tumakuru,Tiptur,LOW,CLOSED,13.3262,77.0838,Assault reported at Dasarahalli. Group assault.,Group assault
FIR000099,Pickpocketing,2025-02-06,05:21,Udupi,Udupi Town,HIGH,COLD,13.3881,74.7154,Pickpocketing reported at HSR Layout Sector 3. Cut pocket.,Cut pocket
FIR000100,Robbery,2025-02-07,02:47,Kodagu,Madikeri,LOW,CLOSED,12.4464,75.783,Robbery reported at Uttarahalli. Chain snatching.,Chain snatching
FIR000101,Kidnapping,2025-02-08,21:08,Mysuru,Kuvempunagar,CRITICAL,CLOSED,12.3263,76.6694,Kidnapping reported at Basavanagudi. For ransom.,For ransom
FIR000102,Arson,2025-02-09,01:48,Belagavi,Shahapur,CRITICAL,UNDER_INVESTIGATION,15.8305,74.5401,Arson reported at Whitefield Main Road. Property arson.,Property arson
FIR000103,Criminal Trespass,2025-02-10,05:24,Mysuru,Krishnaraja,MEDIUM,CLOSED,12.343,76.6736,Criminal Trespass reported at Basavanagudi. Boundary violation.,Boundary violation
FIR000104,Fraud,2025-02-11,14:59,Dharwad,Hubli South,CRITICAL,COLD,15.4901,75.025,Fraud reported at Hebbal Ring Road. Credit card fraud.,Credit card fraud
FIR000105,Sexual Offence,2025-02-12,17:49,Kodagu,Somwarpet,LOW,PENDING,12.42,75.7313,Sexual Offence reported at Hebbal Ring Road. Harassment.,Harassment
FIR000106,Criminal Trespass,2025-02-13,23:44,Belagavi,Camp,HIGH,COLD,15.8134,74.5086,Criminal Trespass reported at Koramangala 1st Cross. Encroachment.,Encroachment
FIR000107,Burglary,2025-02-14,06:36,Mandya,Mandya Town,MEDIUM,UNDER_INVESTIGATION,12.573,76.9034,Burglary reported at Whitefield Main Road. Lock picking.,Lock picking
FIR000108,Drug Offence,2025-02-15,04:00,Kolar,Malur,HIGH,UNDER_INVESTIGATION,13.1759,78.0994,Drug Offence reported at Yelahanka New Town. Street peddling.,Street peddling
FIR000109,Vehicle Theft,2025-02-16,13:43,Haveri,Hangal,MEDIUM,PENDING,14.8452,75.4475,Vehicle Theft reported at Brigade Road. Valet theft.,Valet theft
FIR000110,Domestic Violence,2025-02-17,05:11,Davanagere,Harihara,CRITICAL,COLD,14.5068,75.9099,Domestic Violence reported at Hebbal Ring Road. Verbal abuse.,Verbal abuse
FIR000111,Chain Snatching,2025-02-18,06:23,Raichur,Raichur Town,HIGH,COLD,16.2508,77.3469,Chain Snatching reported at Mahalakshmi Layout. Pillion snatch.,Pillion snatch
FIR000112,Drug Offence,2025-02-19,02:09,Kolar,KGF,CRITICAL,COLD,13.1474,78.1069,Drug Offence reported at Koramangala 1st Cross. Street peddling.,Street peddling
FIR000113,Robbery,2025-02-20,09:47,Dakshina Kannada,Bantwal,MEDIUM,UNDER_INVESTIGATION,12.8832,74.8519,Robbery reported at HSR Layout Sector 3. Chain snatching.,Chain snatching
FIR000114,Cybercrime,2025-02-21,14:59,Tumakuru,Madhugiri,CRITICAL,CLOSED,13.3338,77.0554,Cybercrime reported at Jayanagar 4th Block. Social engineering.,Social engineering
FIR000115,Fraud,2025-02-22,08:35,Haveri,Byadgi,MEDIUM,UNDER_INVESTIGATION,14.7835,75.3865,Fraud reported at MG Road. Online scam.,Online scam
FIR000116,Arson,2025-02-23,06:16,Chikkaballapur,Main Police Station,LOW,PENDING,13.41,77.7711,Arson reported at Rajajinagar. Vehicle arson.,Vehicle arson
FIR000117,Robbery,2025-02-24,16:46,Ballari,Kampli,HIGH,PENDING,15.1042,76.9377,Robbery reported at Marathahalli Bridge. Chain snatching.,Chain snatching
FIR000118,Fraud,2025-02-25,03:26,Dharwad,Dharwad Town,HIGH,COLD,15.4902,74.9927,Fraud reported at Marathahalli Bridge. Identity theft.,Identity theft
FIR000119,Criminal Trespass,2025-02-26,05:41,Udupi,Kundapur,LOW,PENDING,13.3626,74.7808,Criminal Trespass reported at Uttarahalli. Boundary violation.,Boundary violation
FIR000120,Criminal Trespass,2025-02-27,15:45,Kolar,Malur,HIGH,UNDER_INVESTIGATION,13.0957,78.1224,Criminal Trespass reported at Sadashivanagar. Illegal occupation.,Illegal occupation
FIR000121,Pickpocketing,2025-02-28,14:32,Yadgiri,Shahapur,LOW,PENDING,16.7715,77.0973,Pickpocketing reported at Marathahalli Bridge. Bus pick.,Bus pick
FIR000122,Sexual Offence,2025-03-01,13:57,Udupi,Brahmavar,HIGH,UNDER_INVESTIGATION,13.3132,74.7316,Sexual Offence reported at Koramangala 1st Cross. Assault.,Assault
FIR000123,Cybercrime,2025-01-31,03:49,Mysuru,Kuvempunagar,HIGH,PENDING,12.2571,76.5955,Cybercrime reported at Peenya Industrial Area. Credential theft.,Credential theft
FIR000124,Murder,2025-02-01,04:59,Udupi,Karkala,CRITICAL,CLOSED,13.3577,74.7371,"Murder reported at 12th Main, Indiranagar. Poisoning.",Poisoning
FIR000125,Sexual Offence,2025-02-02,16:42,Mandya,Nagamangala,CRITICAL,CLOSED,12.5596,76.8943,Sexual Offence reported at RT Nagar. Assault.,Assault
FIR000126,Murder,2025-02-03,20:17,Raichur,Manvi,CRITICAL,UNDER_INVESTIGATION,16.2145,77.3581,Murder reported at Peenya Industrial Area. Sharp weapon.,Sharp weapon
FIR000127,Chain Snatching,2025-02-04,17:05,Tumakuru,Tumakuru Town,MEDIUM,UNDER_INVESTIGATION,13.3672,77.1131,Chain Snatching reported at BTM Layout Stage 2. Pedestrian snatch.,Pedestrian snatch
FIR000128,Sexual Offence,2025-02-05,01:31,Chikkaballapur,Main Police Station,LOW,UNDER_INVESTIGATION,13.4153,77.7733,Sexual Offence reported at Padmanabhanagar. Workplace harassment.,Workplace harassment
FIR000129,Fraud,2025-02-06,09:42,Udupi,Karkala,LOW,CLOSED,13.2921,74.7809,Fraud reported at Jayanagar 4th Block. Insurance fraud.,Insurance fraud
FIR000130,Chain Snatching,2025-02-07,18:27,Bengaluru Rural,Doddaballapura,CRITICAL,CLOSED,13.1118,77.5623,Chain Snatching reported at Basavanagudi. Roadside snatch.,Roadside snatch
FIR000131,Criminal Trespass,2025-02-08,20:13,Kolar,KGF,HIGH,PENDING,13.1761,78.1784,Criminal Trespass reported at RT Nagar. Temple trespass.,Temple trespass
FIR000132,Vehicle Theft,2025-02-09,19:11,Koppal,Yelburga,LOW,PENDING,15.3106,76.1349,Vehicle Theft reported at Kengeri Satellite Town. Key duplication.,Key duplication
FIR000133,Murder,2025-02-10,04:47,Vijayapura,Muddebihal,HIGH,UNDER_INVESTIGATION,16.8793,75.7168,Murder reported at Dasarahalli. Firearm.,Firearm
FIR000134,Murder,2025-02-11,12:15,Dakshina Kannada,Sullia,HIGH,UNDER_INVESTIGATION,12.8863,74.8767,Murder reported at RT Nagar. Poisoning.,Poisoning
FIR000135,Assault,2025-02-12,03:13,Dharwad,Dharwad Town,CRITICAL,PENDING,15.5067,74.9821,Assault reported at Whitefield Main Road. Confrontation.,Confrontation
FIR000136,Arson,2025-02-13,19:06,Gadag,Ron,LOW,UNDER_INVESTIGATION,15.4539,75.6128,Arson reported at Rajajinagar. Forest fire.,Forest fire
FIR000137,Vehicle Theft,2025-02-14,05:36,Udupi,Udupi Town,LOW,COLD,13.3583,74.7722,Vehicle Theft reported at BTM Layout Stage 2. Valet theft.,Valet theft
FIR000138,Pickpocketing,2025-02-15,22:26,Hassan,Holenarasipura,CRITICAL,CLOSED,12.9645,76.0939,Pickpocketing reported at Koramangala 1st Cross. Distraction theft.,Distraction theft
FIR000139,Sexual Offence,2025-02-16,23:41,Chikkamagaluru,Chikkamagaluru Town,HIGH,PENDING,13.3634,75.7685,Sexual Offence reported at Uttarahalli. Assault.,Assault
FIR000140,Arson,2025-02-17,23:43,Kalaburagi,Chincholi,MEDIUM,PENDING,17.3716,76.8174,Arson reported at Sadashivanagar. Forest fire. [DELAYED INVESTIGATION],Forest fire
FIR000141,Kidnapping,2025-02-18,08:22,Kodagu,Virajpet,HIGH,COLD,12.4108,75.7845,Kidnapping reported at BTM Layout Stage 2. Political.,Political
FIR000142,Chain Snatching,2025-02-19,16:16,Dakshina Kannada,Puttur,LOW,COLD,12.8645,74.8654,Chain Snatching reported at HSR Layout Sector 3. Roadside snatch.,Roadside snatch
FIR000143,Criminal Trespass,2025-02-20,02:43,Bidar,Bhalki,HIGH,UNDER_INVESTIGATION,17.9187,77.509,Criminal Trespass reported at Marathahalli Bridge. Illegal occupation.,Illegal occupation
FIR000144,Criminal Trespass,2025-02-21,16:05,Uttara Kannada,Main Police Station,MEDIUM,COLD,14.7999,74.1624,Criminal Trespass reported at Whitefield Main Road. Illegal occupation.,Illegal occupation
FIR000145,Cybercrime,2025-02-22,05:53,Uttara Kannada,Main Police Station,MEDIUM,COLD,14.849,74.1258,Cybercrime reported at Marathahalli Bridge. Phishing link.,Phishing link
FIR000146,Chain Snatching,2025-02-23,00:43,Belagavi,Camp,HIGH,COLD,15.8568,74.5392,Chain Snatching reported at BTM Layout Stage 2. Pedestrian snatch.,Pedestrian snatch
FIR000147,Chain Snatching,2025-02-24,23:51,Chikkamagaluru,Mudigere,MEDIUM,UNDER_INVESTIGATION,13.2737,75.7286,Chain Snatching reported at Basavanagudi. Pillion snatch.,Pillion snatch
FIR000148,Sexual Offence,2025-02-25,23:17,Bidar,Humnabad,LOW,CLOSED,17.9355,77.5725,Sexual Offence reported at Sadashivanagar. Eve teasing.,Eve teasing
